"name","cmc","type","color","rarity","image URL","image Back URL","custom"
"Flame Trooper","3","Creature — Human Trooper","R","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Flame Trooper.jpg","","TRUE"
"Shore Trooper","2","Creature — Human Trooper","U","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Shore Trooper.jpg","","TRUE"
"Hyperspace Collapse","6","Sorcery","W","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Hyperspace Collapse.jpg","","TRUE"
"Mass Shadow Generator","4","Sorcery","B","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Mass Shadow Generator.jpg","","TRUE"
"Cron Drift Supernova","9","Sorcery","R","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Cron Drift Supernova.jpg","","TRUE"
"Path to Exile","1","Instant","W","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Path to Exile.jpg","","TRUE"
"Enter the Arena","2","Instant","G","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Enter the Arena.jpg","","TRUE"
"Strike Down","2","Instant","B","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Strike Down.jpg","","TRUE"
"Abrade","2","Instant","R","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Abrade.jpg","","TRUE"
"Scorching Elimination","2","Sorcery","R","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Scorching Elimination.jpg","","TRUE"
"Shiak","2","Instant","R","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Shiak.jpg","","TRUE"
"Ruthless Rise","1","Sorcery","B","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Ruthless Rise.jpg","","TRUE"
"Butcher","4","Instant","B","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Butcher.jpg","","TRUE"
"Take Vengeance","2","Sorcery","W","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Take Vengeance.jpg","","TRUE"
"Hammerhead Corvette","4","Artifact Creature — Starship","G","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Hammerhead Corvette.jpg","","TRUE"
"Thermal Detonator","1","Artifact",,"common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Thermal Detonator.jpg","","TRUE"
"Vader's Command","5","Sorcery","B","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Vaders Command.jpg","","TRUE"
"Afterburn","2","Instant","R","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Afterburn.jpg","","TRUE"
"Conscription","5","Sorcery","U","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Conscription.jpg","","TRUE"
"Corellian Gunship","1","Artifact Creature — Starship","R","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Corellian Gunship.jpg","","TRUE"
"Despair","2","Instant","B","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Despair.jpg","","TRUE"
"Droid Uprising","4","Instant","W","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Droid Uprising.jpg","","TRUE"
"Astromech","2","Artifact Creature — Droid Artificer","W","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Astromech.jpg","","TRUE"
"Force Stasis","2","Instant","U","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Force Stasis.jpg","","TRUE"
"Underworld Enforcer","5","Creature — Human Rogue","BR","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Underworld Enforcer.jpg","","TRUE"
"Mouse Droid","2","Artifact Creature — Droid","U","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Mouse Droid.jpg","","TRUE"
"Droid Gunship","4","Artifact Creature — Droid Starship","U","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Droid Gunship.jpg","","TRUE"
"Sandcrawler","5","Artifact Creature — Jawa Construct","WUB","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Sandcrawler.jpg","","TRUE"
"Spaceport Swindler","2","Creature — Jawa Rogue","U","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Spaceport Swindler.jpg","","TRUE"
"Hungry Mynock","2","Creature — Bat Beast","W","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Hungry Mynock.jpg","","TRUE"
"Council's Verdict","3","Instant","GWU","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Councils Verdict.jpg","","TRUE"
"Ahsoka Tano","4","Legendary Creature — Togruta Jedi","U","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Ahsoka Tano.jpg","","TRUE"
"Magna Guard","3","Artifact Creature — Droid Warrior","U","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Magna Guard.jpg","","TRUE"
"Combat Enhancement","2","Enchantment — Aura","U","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Combat Enhancement.jpg","","TRUE"
"Force Barrier","3","Instant","U","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Force Barrier.jpg","","TRUE"
"Scavenge","3","Sorcery","B","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Scavenge.jpg","","TRUE"
"Vornskr Pack","4","Creature — Beast","G","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Vornskr Pack.jpg","","TRUE"
"Nexu Ambush","4","Instant","G","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Nexu Ambush.jpg","","TRUE"
"Peaceful Horax","3","Creature — Beast","G","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Peaceful Horax.jpg","","TRUE"
"Ysalamiri Brood","2","Creature — Lizard","G","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Ysalamiri Brood.jpg","","TRUE"
"Jedi Animist","3","Creature — Wookiee Jedi","G","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Jedi Animist.jpg","","TRUE"
"Bestial Rampage","5","Sorcery","G","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Bestial Rampage.jpg","","TRUE"
"Commune with the Force","5","Enchantment","G","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Commune with the Force.jpg","","TRUE"
"Terentatek Mauler","7","Creature — Beast","R","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Terentatek Mauler.jpg","","TRUE"
"Sun Djem","2","Instant","G","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Sun Djem.jpg","","TRUE"
"Cho Mok","2","Instant","U","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Cho Mok.jpg","","TRUE"
"Shiim","2","Instant","W","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Shiim.jpg","","TRUE"
"Savage Appetite","3","Instant","RGW","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Savage Appetite.jpg","","TRUE"
"Thunderous Applause","5","Sorcery","W","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Thunderous Applause.jpg","","TRUE"
"Hunter's Trophy","3","Instant","BRG","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Hunters Trophy.jpg","","TRUE"
"Imperial Mercy","4","Instant","UBR","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Imperial Mercy.jpg","","TRUE"
"Bothan Infiltrator","3","Creature — Bothan Rogue","UB","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Bothan Infiltrator.jpg","","TRUE"
"Uncivilized Conduct","2","Instant","RG","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Uncivilized Conduct.jpg","","TRUE"
"Belligerent Brawler","5","Creature — Aqualish Warrior","GR","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Belligerent Brawler.jpg","","TRUE"
"Strike Twice","12","Sorcery","R","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Strike Twice.jpg","","TRUE"
"Wellspring of Life","0","Land","WUBRG","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Wellspring of Life.jpg",,"TRUE"
"Biox Detour","0","Land","GU","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Biox Detour.jpg",,"TRUE"
"Corellian Run","0","Land","RG","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Corellian Run.jpg",,"TRUE"
"Hydian Way","0","Land","WU","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Hydian Way.jpg",,"TRUE"
"Ison Corridor","0","Land","WB","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Ison Corridor.jpg",,"TRUE"
"Kessel Run","0","Land","BR","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Kessel Run.jpg",,"TRUE"
"Mantellian Trail","0","Land","BG","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Mantellian Trail.jpg",,"TRUE"
"Perlemian Route","0","Land","GW","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Perlemian Route.jpg",,"TRUE"
"Rimma Approach","0","Land","UB","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Rimma Approach.jpg",,"TRUE"
"Roon Curve","0","Land","UR","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Roon Curve.jpg",,"TRUE"
"Sullustan Path","0","Land","RW","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Sullustan Path.jpg",,"TRUE"
"Onderon Grove","0","Land - Forest","RGW","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Onderon Grove.jpg",,"TRUE"
"Balmorran Lagoon","0","Land - Island","WBU","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Balmorran Lagoon.jpg",,"TRUE"
"Mount Tantiss","0","Land - Mountain","BGR","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Mount Tantiss.jpg",,"TRUE"
"Lake Country Meadow","0","Land - Plains","WGU","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Lake Country Meadow.jpg",,"TRUE"
"Koboh Mire","0","Land - Swamp","UBR","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Koboh Mire.jpg",,"TRUE"
